Player_id,Name,ig_username
69,Eric Gordon,officialeg10
70,Ersan Ilyasova,ersanilyasova7
71,Evan Fournier,evanfournier10
72,Evan Turner,evanturner
73,Gerald Green,g.green14
74,Gerald Henderson,g_hender09
75,Giannis Antetokounmpo,giannis_an34
76,Glen Davis,gbbabydavis
77,Goran Dragic,the_1_dragon
78,Gordon Hayward,gordonhayward
79,Gorgui Dieng,gorguidieng
80,Greg Monroe,moosemonroe15
81,Greivis Vasquez,greivisvasquez
82,Harrison Barnes,hbarnes
83,Ian Mahinmi,ianou76
84,Iman Shumpert,imanshumpert
85,Isaiah Thomas,isaiahthomas
86,J.J. Barea,jjbarea11
87,Jae Crowder,bossmann99
88,Jamal Crawford,jcrossover.11
89,Jameer Nelson,jameernelson
91,James Harden,jharden13
92,James Johnson,james16johnson_
94,Jared Sullinger,jaredsullinger_7
95,Jarrett Jack,jarrettjack03
97,Jeff Green,unclejeffgreen
98,Jeff Teague,jeffteague
99,Jerami Grant,jeramigrant
100,Jeremy Lin,jlin7
102,Jimmy Butler,jimmybutler
105,Joakim Noah,stickity13
107,Joe Ingles,joeingles7
108,Joe Johnson,joejohnson247
110,John Henson,johnhenson31
111,Jon Leuer,jonleuer30
112,Jonas Jerebko,jonasjerebko
113,Jonas Valanciunas,jvalanciunas
114,Jordan Clarkson,jordanclarksons
116,JR Smith,teamswish
117,Justin Holiday,justholla7
118,Kawhi Leonard,kawhielite
119,Kelly Olynyk,kellyolynyk
120,Kemba Walker,_kw15
121,Kendrick Perkins,therealkendrickperkins
122,Kenneth Faried,kennethfaried35
123,Kent Bazemore,24baze
124,Kentavious Caldwell-Pope,caldwellpope
125,Kevin Love,kevinlove
126,Kevin Seraphin,french__savage
127,Khris Middleton,k_mid22
129,KJ McDaniels,kocmj
130,Klay Thompson,klaythompson
131,Kosta Koufos,kostakoufos
132,Kris Humphries,krishumphries
133,Kyle Korver,kkorv26
134,Kyle Lowry,kyle_lowry7
135,Kyle Singler,kylesingler
136,Kyrie Irving,kyrieirving
137,LaMarcus Aldridge,aldridge_121
138,Lance Stephenson,stephensonlance
139,Lavoy Allen,chef_voy_ardee
141,LeBron James,kingjames
142,Lou Williams,louwillville
143,Luc Mbah a Moute,lucmbahamoute
146,Luol Deng,luoldeng9
147,Manu Ginobili,manuginobili
148,Marc Gasol,marcgasol
149,Marcin Gortat,mgortat13
150,Marco Belinelli,mbeli21
151,Marcus Morris,foestar13
152,Marcus Smart,youngamechanger
153,Mario Chalmers,mchalmers6
158,Matt Barnes,matt_barnes9
161,Michael Carter-Williams,mr_carter5
162,Mike Conley,mac11
164,Mike Scott,mikescottva
165,Miles Plumlee,milesplumlee
167,Monta Ellis,iammontaellis
168,Nerlens Noel,nerlensnoel3
169,Nick Calathes,ncalathes
170,Nick Collison,nicholascollison
171,Nicolas Batum,nicbatum88
172,Nik Stauskas,nikstauskas11
173,Nikola Mirotic,threekola
175,Norris Cole,norriscole
176,O.J. Mayo,juicemayo3
178,Omri Casspi,omricasspi18
179,Otto Porter Jr.,ottodayporter22
181,Pau Gasol,paugasol
182,Paul Millsap,paulmillsap4
183,Paul Pierce,paulpierce
184,Pero Antic,cickostoilko
185,Quincy Acy,quincyacy
186,Quincy Pondexter,quincypondexter
187,Rajon Rondo,rajonrondo
189,Rasual Butler,rasualbutler8
190,Ray McCallum,raymac3
191,Reggie Jackson,reggie_jackson
192,Richard Jefferson,richardajefferson
194,Robin Lopez,gustogummi88
196,Roy Hibbert,royhibbert55
197,Rudy Gay,rudygay
198,Rudy Gobert,rudygobert27
200,Serge Ibaka,sergeibaka
201,Shane Larkin,shanelarkin_0
202,Shaun Livingston,sdot1414
205,Spencer Hawes,spenceneedle
206,Stephen Curry,stephencurry30
208,Steven Adams,stevenadams
209,Taj Gibson,tajgibson22
210,Tarik Black,tarikbblack
212,Terrence Ross,3tross1
214,Tim Hardaway Jr.,timmyjr10
215,Timofey Mozgov,mozg25
216,Tobias Harris,tobiasharris
218,Tony Parker,_tonyparker09
219,Tony Snell,t.snell_
221,Trevor Booker,35_fitz
222,Trey Burke,treyburke
223,Ty Lawson,tylawson3
226,Tyson Chandler,tysonchandler
227,Udonis Haslem,ud40
228,Victor Oladipo,vicoladipo
230,Wayne Ellington,wayne_elli
235,Zach LaVine,zachlavine8
236,Zach Randolph,macbo50
237,Zaza Pachulia,zazapachulia
